Korean,English
사랑하다,Love
아니,no
여름,summer
자라다,grow
회,episode
구체적,detailed
기회,opportunity
실시하다,Enforce
지구,earth
번째,th
소비자,consumer
싫다,hate
규모,Scale
기준,standard
말,word
반드시,certainly
셈,count
갖추다,possess
그러니까,therefore
받아들이다,accept
값,value
현장,site
건설,erection
꺼내다,take out
노동자,worker
동네,town
언제나,always
완전히,completely
자동차,automobile
전하다,impart
존재하다,Exist
개월,month
맞다,right
별로,not really
어린이,children
정하다,decide
한마디,one word
유지하다,maintain
이데올로기,ideology
공부하다,study
대중,public
늘어나다,increase
닦다,To Wipe
만,only
말씀,words
괜찮다,Okay
눈물,tear
각종,various
빛,light
아니,no
피하다,avoid
거치다,pass through
나아가다,go forward
야,hey
지식,knowledge
현재,today
여전히,still
주인,master
발견하다,Discover
선,line
인류,humanity
특징,characteristic
드리다,give
선수,player
형식,form
마련하다,prepare
반,half
발표하다,announce
주제,subject
걸치다,cover
겪다,experience
관점,aspect
귀,ear
기본,basic
미터,Meter
사라지다,disappear
어떠하다,How is it?
감정,emotion
기억,memory
놈,bloke
인기,popularity
배,ship
아파트,apartment
가끔,sometimes
구성,composition
술,alcohol
실제로,actually
짧다,short
고맙다,thanks
관리,management
그곳,there
달다,Sweet
보다,see
비롯하다,originate
과연,indeed
들리다,hear
달리다,run
바쁘다,busy
이전,before
인정하다,recognize
자,ruler
중앙,center
나쁘다,bad
불구하다,to be disabled
시키다,make someone do
게임,game
국제,International
그룹,group
인생,life
전통,tradition
기르다,cultivate
잔,glass
조사하다,Investigate
커다랗다,It's big
있다,there is
시인,poet
언제,when
외,except
평가,evaluation
내려오다,go down
위치,location
줄이다,reduce
가격,price
달라지다,to be different
비다,be empty
삼국,Three Kingdoms
손님,customer
원하다,want
통신,communication
확인하다,check
모임,class
수,number
아무,any
웃음,laugh
기계,machine
모양,shape
물질,matter
아나운서,announcer
뉴스,news
살아가다,live
펴다,Spread
배,ship
수업,class
겨울,winter
종교,religion
층,floor
자연스럽다,natural
장,page
돌다,spin
식사,meal
안다,know
이해,understanding
잊다,forget
제시하다,present
반,half
불과하다,It's just a little bit
혹은,or
엄청나다,tremendous
편,side
텔레비전,television
파악하다,Seize
편,side
실천,implement
노력하다,try hard
보호,protect
씻다,wash
한편,Meanwhile
늦다,late
이웃,neighbor
편지,letter
공동,public
까닭,reason
방안,measures
센티미터,centimeter
팔,eight
분명하다,Obvious
분석,analyze
소녀,girl
지나가다,Pass by
차,car
상품,Goods
설명,explanation
훌륭하다,excellent
관계자,Officials
새로,New
세,count
이어지다,be connected
티브이,TV
봄,spring
종류,type
낮다,low
어깨,shoulder
지적하다,Point out
부부,married couple
오래,long time
요구,request
키우다,grow
눕다,lay down
발달하다,develop
발전하다,develop
여행,travel
죽음,death
고통,pain
등장하다,appear
공,ball
듯이,as if
어울리다,comport
오월,May
쉬다,rest
알리다,inform
차다,cold
과,class
멀리,far
빼다,remove
예정,expected
오빠,brother
즐겁다,fun
한계,Limit
흔히,Often
바탕,background
사월,April
싸우다,fight
언제,when
예쁘다,pretty
갈등,conflict
느껴지다,feel
의지,will
전문,specialty
정확하다,Accurate
초기,Early
나중,later
등,etc.
맛있다,it's good
며칠,few days
신경,nerve
찾아오다,come to
미,mi
사용,use
시선,Sight
아무런,nothing
언론,Press
투자,invest
지원,support
결정하다,decide
경영,management
목표,target
성장,growth
숲,forest
없어지다,Run out
작년,last year
내려가다,go down
떠오르다,fly
미치다,crazy
새벽,dawn
쓰레기,trash
얼른,hurry
임금,wage
피해,damage
한,one
무섭다,scary
직장,rectal
참다,suppress
크기,size
고기,meat
남기다,leave
서양,Western
주요,main
지나치다,go too far
가져오다,Bring
냄새,smell
부드럽다,soft
여기다,It's here
이,this
공연,show
남녀,men and women
내놓다,put out
떼다,cut
만들어지다,Made
속도,speed
심각하다,Serious
준비,preparation
계속되다,continue
구월,September
맑다,clear
소년,boy
소식,News
유월,June
작용,Action
허리,waist
골,goal
공업,industry
그중,among them
노인,old man
벌다,Earn
살리다,save
새,bird
영어,english
출신,Native
결정,decision
경향,tendency
기록,record
나름,depending on
대답하다,Answer
반면,On the other hand
썰다,chaff
움직임,movement
이미지,image
터지다,To explode
특성,characteristic
교장,Principal
벗다,take off
업무,work
입시,entrance exam
준비하다,prepare
청소년,Teenager
돕다,help
응,huh
이기다,win
찾아보다,To look for
취하다,drunk
다루다,Deal with
달,moon
사장,CEO
삼월,March
그렇지만,but
선배,senior
업체,company
키,key
구하다,get
국회,Congress
그러므로,therefore
포함하다,include
걱정,worry
결혼하다,Get married
만약,if
바르다,Cover
세월,time
숨,breath
행사,event
깨닫다,realize
누나,sister
신,god
왕,king
점점,getting more and more
질문,question
특별,Special
판단,judgment
해결하다,solve
거리,distance
계속하다,Continue
그치다,stop
근처,around
너무나,too
높이다,heighten
부정,denial
사정,circumstances
도대체,why
막,membrane
부모님,parents
수출,Export
계시다,be there
그,that
자르다,cut
데리다,be accompanied
마리,number of animals
무척,very
비용,expense
비행기,airplane
옳다,right
원래,usually
처리,process
최초,the first
꼴,form
놀이,play
뜨겁다,hot
뿌리,root
수입,income
초,candle
그리하여,therefore
낮,afternoon
일찍,early
직원,employee
찍다,hew
가볍다,light
내부,interior
다소,a little
상대,opponent
오전,morning
피부,skin
가게,store
가득,full
그저,just
도,do
벽,wall
장군,General
무역,Trade
부담,Burden
약속,promise
인사,greeting
줄,line
쳐다보다,To look at
충분히,enough
대,big
신체,body
에너지,energy
위원,commissioner
정리하다,organize
집안,house management
배경,background
죽이다,To kill
단순하다,simple
반대,the opposite
법칙,Rule
빠지다,fall
소금,salt
오염,pollution
자전거,bicycle
참여하다,participate
탓,fault
푸르다,blue
그래,okay
목,neck
발표,presentation
범죄,crime
위,stomach
흔들다,shake
기초,basic
논리,logic
드라마,drama
뽑다,select
피우다,smoke
감각,sense
미리,beforehand
부족하다,lack
인사,greeting
저희,we
진행되다,progress
교통,traffic
기구,machine
법,law
오랜,long-time
젊은이,young people
후보,candidate
거리,distance
과제,assignment
근거,reason
기록하다,Record
다가오다,to come closer
불다,blow
시각,Time
이끌다,lead
종합,Synthesis
한글,korean
가을,autumn
개발하다,develop
내일,tomorrow
떨다,shiver
매일,everyday
손가락,finger
수단,method
자,ruler
자유롭다,free
적극적,active
판매,sale
형성,formation
기울이다,tilt
길이,length
장면,scene
점차,gradually
톤,ton
관련되다,It is related
급,class
나머지,remain
날씨,weather
더불다,together
동물,animal
의사,doctor
개방,Opening
건강하다,healthy
미래,future
앞서,previously
여러분,everyone
왜냐하면,because
인구,population
기대하다,expect
네,yes
도착하다,arrive
병,party
소프트웨어,software
흘리다,spill
반응,reaction
주인공,Hero
당연하다,Of course
따뜻하다,warm
따로,separately
비판,Criticism
빌리다,borrow
세대,Generation
축구,soccer
형님,older brother
놓이다,go
당장,right now
무렵,Around the time
밝다,bright
사물,objects
일반적,In general
장소,location
곱다,pretty
바닥,floor
새끼,young
생각되다,think
서비스,service
선택하다,Choose
심다,plant
적다,little
코,nose
간단하다,Simple
고등학교,high school
공개,open
교실,classroom
스스로,self
견디다,Endure
기사,article
막히다,blocked
매체,media
별,star
복잡하다,complicated
뿌리다,spread
영역,area
체험,experience
구속,Restriction
때로,sometimes
어쩌면,perhaps
극복하다,Overcome
불법,illegal
비밀,secret
색,color
쓰이다,serve
일정하다,constant
다지다,mince
밝혀지다,come to light
아까,a moment ago
알맞다,fit
이념,ideology
희다,white
가리키다,point out
모시다,deify
발달,develop
수많다,There are countless
잘못,wrong
치르다,pay
평화,peace
공사,construction
돌,rock
똑같다,same
박사,doctor
성,castle
전문가,expert
단지,only
말씀하다,speak
무용,dancing
불리다,be called
싸움,fight
자꾸,repeatedly
차리다,prepare
해외,Overseas
그리,picture
뜨다,to rise
문화재,Cultural Heritage
미소,smile
보통,commonly
식당,restaurant
의미하다,mean
이래,since
체육,Athletic
구성되다,consist of
독특하다,special
땀,sweat
사례,example
소개하다,introduce
잘되다,blend
추진하다,carry forward
칠월,July
틀,frame
평균,average
훈련,training
흐름,flow
십이월,December
쌓이다,To stack up
이익,profit
쥐다,hold
게다가,furthermore
끓이다,boil
논문,thesis
멈추다,Stop
사용되다,be used
오랫동안,for a long time
위기,Danger
정당,party
종이,paper
찾아가다,to go look for
폭력,violence
혹시,if
늘다,gain
양,sheep
절차,procedure
진짜,really
계시다,be there
공기,air
닿다,reach
물론,of course
속하다,Belong
올림픽,Olympic
이외,Other than
재미,fun
제공하다,provide
증가하다,Increase
기대,expectation
떡,rice cake
식물,plant
옛,ancient
외치다,shout out
적어도,At least
편하다,relaxing
평,pyeong
권리,right
끝내다,finish
대답,answer
시작,start
어려움,difficulty
일주일,one week
자원,resource
춤,dance
넘기다,to pass over
드리다,give
물체,object
분명히,clearly
시위,demonstration
아무것,nothing
온,on
젖다,get wet
제외하다,Except
최대,maximum
평소,usually
견해,View
깨끗하다,Clean
농사,farming
더구나,Moreover
안정,stability
어둠,darkness
어둡다,dark
어쨌든,anyway
주택,house
고장,breakdown
관련하다,relate
눈길,line of vision
물어보다,ask
미안하다,sorry
밀다,Push
스트레스,stress
음,hmm
인사,greeting
주어지다,given
고려하다,consider
과일,fruit
널리,extensively
농촌,Rural
올라오다,come up
챙기다,take
고르다,choose
바르다,Cover
벌어지다,open up
소재,Material
전망,View
포기하다,give up
형성되다,formed
고치다,fix
그림자,shadow
눈,eye
다하다,fulfill
마침내,Finally
비교하다,compare
시월,October
커지다,grow big
한쪽,pair
검사,test
결론,conclusion
들이다,admit
맡기다,entrust
박물관,museum
소문,rumor
싣다,load
쌓다,stack
어서,hurry
자녀,children
제목,title
짓,act
판결,verdict
팔월,August
하얗다,White
희망,hope
가방,bag
군대,army
그만큼,that much
무어,moore
비로소,for the first time
상대방,opponent
서구,Western
소유,possession
시골,countryside
실수,mistake
잘못되다,go wrong
치료,therapy
폭,width
호,like
내밀다,hold out
맞다,right
부문,sector
시리즈,series
임신,pregnancy
잡히다,be caught
해,sun
규정,Rule
그램,gram
밭,field
분석하다,Analyze
식구,family
아예,At all
어찌,How
울리다,make cry
작용하다,Apply
확실하다,It is certainly
개선,improvement
그릇,bowl
글자,letter
바람직하다,desirable
연구하다,Research
착하다,kind
개,dog
라디오,radio
마련,prepared
부동산,real estate
신화,mythology
양,sheep
점,dot
직업,job
거두다,reap
방학,vacation
범위,range
조상,Ancestor
철학,philosophy
검다,black
곁,neighborhood
근본적,fundamental
너희,you guys
대형,large
따다,Pick
문제점,problem
본격적,In earnest
불가능하다,impossible
인제,Inje
충격,Shock
퍼지다,spread
금방,soon
남쪽,South
누르다,Press down
미술,Art
백성,the people
상당히,Pretty
색깔,Color
요리,cooking
유명하다,Famous
자네,you
기,energy
꽤,fairly
서로,each other
외국인,foreigner
한참,long time
군사,Military
끊다,Quit
넘어가다,skip
담기다,put in
마당,yard
부인,ma'am
서두르다,hurry
지적,Point out
짝,match
참으로,Indeed
충분하다,Suffice
기쁘다,happy
뛰다,run
숙제,homework
앞두다,take the lead
예산,budget
온갖,all kinds
우려,concern
우산,umbrella
기쁨,pleasure
깊이,depth
꾸미다,decorate
늘리다,increase
무릎,knee
발견되다,discovered
보호하다,Protect
시스템,system
이용,Use
지난달,last month
지르다,kick
참여,Participation
걸음,step
겨우,barely
마르다,dry
비교적,Comparative
애쓰다,whittle away
올바르다,correct
책상,table
춥다,cold
흔하다,common
높아지다,get higher
늙다,old
단위,unit
둘째,second
뛰어나다,outstanding
무겁다,heavy
바람,wind
상상,Imagination
소득,income
수도,capital
역,station
인식하다,Cognize
자,ruler
침대,bed
권,volume
뜨다,to rise
맺다,form
수요,demand
스타,star
시계,clock
입술,Lips
잎,leaf
중간,middle
지도자,Leader
천천히,slowly
구성하다,Make up
대체로,generally
때리다,hit
몹시,Heavily
문득,suddenly
스포츠,sports
위원장,Chairman
저기,excuse me
특별하다,special
효과적,effective
가까이,closely
낫다,better
넘어서다,overcome
볶다,To fry
생산하다,Produce
언젠가,someday
예술가,artist
의도,Intent
저지르다,commit
줄어들다,decrease
가만히,Still
건,case
교회,church
대개,mostly
외부,Out
한두,one or two
한때,onetime
화,fury
흙,soil
가난하다,poor
고객,customer
과학자,Scientist
관광,tourism
살아오다,live
상대적,relative
수술,surgery
식품,food
연기,performance
일월,January
조,article
첫째,first
회원,member
도서관,library
들려오다,hear
조금씩,gradually
조미료,Condiment
풀리다,Relent
강력하다,powerful
들여다보다,look into
마늘,garlic
선물,gift
습관,habit
아주머니,madam
위험,danger
지하,underground
활용하다,utilize
가꾸다,cultivate
고민,worry
떠올리다,recall
맨,man
법률,law
상처,wound
좁다,narrow
지하철,subway
집다,nip
현,hyeon
화면,screen
군,army
대표적,representative
만일,if
사회적,social
생겨나다,arise
이어,Following
주부,housewife
진리,truth
태양,sun
틀림없다,It's definitely true
프로,Pro
피다,Blossom
공급,supply
도로,road name
동료,colleague
잘못,wrong
지다,lose
채우다,Fill
균형,balance
기본적,basic
부족,lack
사무실,office
이월,carried over to
일요일,sunday
접근,Access
지켜보다,Watch
개성,Individuality
달리다,run
더하다,add
띄다,stand out
무너지다,fallen
보통,commonly
쓰다,write
이러다,Like this
일어서다,get up
죄,crime
참,really
총장,president
핵심,main point
후반,second half
단순히,simply
달려가다,run
방문,visit
불만,dissatisfaction
불편하다,inconvenient
실제,real
종,bell
피,blood
강,river
관객,audience
동작,movement
뜻하다,mean
막,membrane
밀리미터,millimeter
비싸다,expensive
숫자,number
열,heat
왼쪽,left
중세,Middle Ages
택시,taxi
통합,integrated
계산,calculate
꼬리,tail
놀랍다,surprising
양식,form
예전,Previous
저,I
전기,electricity
주식,stock
틀리다,wrong
끊임없이,endlessly
모델,Model
붓다,pour
상식,Common sense
상표,brand
시원하다,Cool
아니하다,No
어디,where
의식하다,be conscious
고모,aunt
궁금하다,I'm curious
둘러싸다,surround
딱,Just
뛰다,run
민주화,democratization
보도,sidewalk
살피다,watch
않다,not
약하다,weak
잘못하다,do wrong
잡지,magazine
거부하다,reject
공무원,public official
그만두다,Quit
댁,Dak
반갑다,nice to meet
부족,lack
실시,practice
운명,fate
재정,finance
차라리,rather
학자,Scholar
다녀오다,come back
달다,Sweet
대규모,Large-scale
동,dong
민간,private
법원,court
비디오,video
사실상,virtually
아끼다,grudge
이쪽,this way
지대,belt
판단하다,Judge
행복하다,happy
굽다,bake
기름,Oil
실천하다,practice
쏟아지다,pour out
연습,practice
오른쪽,right
용어,Terms
익히다,to cook
지도,map
지위,status
풍부하다,rich
화장실,restroom
기억하다,remember
식량,food
실험,Experiment
용기,courage
토론,debate
고급,advanced
고생,hardship
미치다,crazy
밟다,to step on
상당하다,considerable
섞다,combine
수석,top
없애다,Delete
이뤄지다,come true
적절하다,It is appropriate
정상,normal
제사,ancestral rites
주말,weekend
지혜,wisdom
참새,Sparrow
화장품,cosmetics
굵다,thick
깨끗이,clean
낡다,old
내년,next year
농산물,Agricultural products
눈앞,Before your eyes
대학생,College student
방문하다,Visit
붉다,red
사고,accident
순서,order
아무래도,I guess
연구소,laboratory
올,all
위대하다,great
이사,move
지배하다,rule
틈,aperture
가령,chamberlain
거대하다,It's huge
닫다,close
드물다,rare
들르다,drop in at
매달리다,hang on
생일,birthday
섬,island
이하,below
참석하다,Attend
토대,foundation
해결,solve
행복,happiness
걸어가다,walk
근로자,Employee
글쎄,well
목숨,life
백화점,department store
변화하다,change
병,party
빠져나가다,get out
안녕하다,hello
여론,public opinion
의복,cloth
체조,Gymnastics
출발하다,Depart
현실적,realistic
화제,issue
결정되다,be decided
고양이,cat
공격,attack
물가,price
민주주의,democracy
불안,unrest
소중하다,precious
여유,spare
의문,question
중학교,middle School
킬로미터,kilometer
파도,tide
흰색,White
가수,singer
단,step
방송국,Broadcast stations
빛나다,shine
숨다,hide
실리다,be loaded
압력,enter
예금,Deposit
예상되다,expected
입학,Admission
증권,stock
직후,Immediately after
차량,vehicle
출산,delivery
물다,bite
선진국,Developed countries
약,approximately
어느새,Suddenly
재판,trial
저쪽,there
제자,student
창문,window
초,candle
치즈,cheese
회복,recovery
구역,area
대응,react
반대하다,Oppose
발휘하다,exert
소비,Consumption
심장,heart
아이고,oh my
조용히,quietly
중소기업,small business
직접적,direct
진실,truth
필자,writer
협력,Cooperation
가스,gas
계층,hierarchy
구멍,hole
담당,in charge
만화,comic book
먹이다,batten
무시하다,ignore
보도하다,report
살짝,a little
생각나다,come to mind
우유,milk
인상,impression
차갑다,cold
철저하다,thorough
태아,fetus
관찰하다,Observe
괜히,in vain
끼다,Put on
날개,wing
녀석,guy
눈빛,a look
단지,only
두르다,borrow
드디어,at las
물속,underwater
민주,democracy
성공하다,Succeed
소나무,pine tree
여기저기,Here and there
여인,woman
운영하다,operate
평가하다,evaluate
표,graph
필요성,Necessity
감추다,hide
머무르다,stay
모,what
부위,part
비우다,vacate
설치하다,install
십일월,November
싸다,cheap
아울러,together
지시,instruction
형성하다,form
형제,sibling
화려하다,Gorgeous
거울,mirror
덧붙이다,add
딴,different
몇몇,some
무기,weapon
세계적,worldwide
안전,safety
양파,onion
이상,more
일종,kind of
처지,situation
촬영,filming
타다,ride
틀다,turn on
형편,circumstances
가지,egg plant
감다,reel in
고추,pepper
규칙,rule
본질,nature
비치다,hint
빵,bread
서서히,slowly
스승,teacher
신분,Identity
실시되다,carry out
아마도,maybe
안방,Inner room
앓다,be ill
어제,yesterday
오직,Only
위험하다,Dangerous
자신,Myself
잠시,for a moment
졸업하다,graduate
증거,evidence
초점,focus
포함되다,to be included
호랑이,tiger
강화하다,Reinforce
공포,fear
권위,authority
덜,less
둥글다,round
미루다,Postpone
본래,originally
부엌,kitchen
세금,tax
실정,actual circumstances
영양,nutrition
육체,flesh
입구,Entrance
잔뜩,loads
적극,actively
최소한,at least
펼쳐지다,unfold
경험하다,Experience
그이,He
넘치다,spill over
놓치다,to let go
대기,atmosphere
독립,Independent
돌아보다,look back
또다시,Again
머릿속,in my head
북쪽,North
불안하다,Unstable
쇠고기,beef
위반,violation
주,main
카드,card
평생,forever
해당하다,correspond to
간부,Cadre
관념,concept
굉장히,greatly
단어,word
덮다,cover
도와주다,help
도입,introduction
몰다,drive
배우,actor
비추다,irradiate
신발,shoes
알,egg
앞서다,precede
여건,conditions
오래전,lang syne
자격,Qualification
통제,control
계단,stairs
김치,kimchi
끄덕이다,nod
낯설다,strange
높이,height
닮다,Resemble
마음속,In my heart
못지않다,It's no less
반영하다,Reflect
뼈,bone
성장하다,grow up
소속,belong
연결되다,connected
장사,Sale
제작,produce
제한,limit
차다,cold
추진,propel
취하다,drunk
콩,bean
